benefit,sub-benefit,category,plain language,strength of science,,study description,study source,link to study 1,link to study 2,link to study 3,link to study 4,link to study 5,,,,other link,dropoff >>>,http://www.mindandlife.org/meditation-its-not-what-you-think/,http://www.huffingtonpost.com/2013/09/16/eight-meditation-brain-benefits_n_3903855.html?ir=Healthy+Living,http://en.wikipedia.org/wiki/Research_on_meditation#Research_by_effects_of_meditation
https://informationisbeautiful.net/visualizations/what-is-meditation-mindfulness-good-for/,,,,"4 strong, 3 promising, 2 inconclusive, 1 slight, 0 none",,,,,,,,,,,,,,,,
attention,,,,,,,,,,,,,,,,,,,,
,focus + concentration,cognitive,"Improves ability to concentrate on tasks and ignore distractions. Measurable differences in brain activity between regular meditators and non-meditators in regions responsible for controlling and directing attention, even while not meditating.",4,,,,,,,,,,,,,,,,
,focus + concentration,cognitive,,,,"Performance on a 32-min response inhibition task following one month of intensive, daily Vipassana meditation training showed improved response inhibition accuracy and reductions in reaction time variability compared to controls. Critically, increases in concentration predicted improvements in reaction time variability, suggesting a link between the experience of concentrative engagement and ongoing fluctuations in attentional stability. By incorporating experiential measures of task performance, the present study corroborates phenomenological accounts of stable, clear attentional engagement with the object of meditative focus following extensive training.",Zanesco et al 2013,http://www.ncbi.nlm.nih.gov/pubmed/24065902,,,,,,,,,,,,
,focus + concentration,cognitive,,,,"study shows that amount of time an individual spends practicing meditation is associated with activity and connectivity changes in the brain, particularly in attentional regions. Participants with more meditation experience exhibited increased connectivity within attentional networks, as well as between attentional regions and medial frontal regions. These neural relationships may be involved in the development of cognitive skills, such as maintaining attention and disengaging from distraction, that are often reported with meditation practice. Furthermore, because altered connectivity of brain regions in experienced meditators was observed in a non-meditative (resting) state, this may represent a transference of cognitive abilities “off the cushion” into daily life.",Hasenkamp and Barsalou 2012,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3290768/,,,,,,,,-,,,,
,focus + concentration,cognitive,,,,replicable longitudinal changes in brain oscillatory activity (as measured by an EEG) during meditation,Saggar et al 2012,http://www.ncbi.nlm.nih.gov/pubmed/22973218,,,,,,,,,,,,
,focus + concentration,cognitive,,,,"mindfulness meditation may alter the efficiency of allocating cognitive resources, leading to improved self-regulation of attention.",Moore et al 2012,http://www.ncbi.nlm.nih.gov/pubmed/22363278,,,,,,,,,,,,
,focus + concentration,cognitive,,,,"6 weeks of meditation training, compared to relaxation or no training, appears to help reduce emotional interference on tasks and increases attention regulation. Undergraduate subjects rated images as significantly less negative and found tasks less anxiety-inducing and difficult. Attention and concentration also increased.",Menezes et al 2013,http://www.ncbi.nlm.nih.gov/pubmed/23935694,,,,,,,,,,,,
,focus + concentration,cognitive,,,,"A review of 23 studies on the effect of mindfulness meditation practices on attention, memory, executive functions and other measures of cognition found overall that early phases of mindfulness training, which are more concerned with the development of focused attention, could be associated with significant improvements in selective and executive attention whereas the following phases, which are characterized by an open monitoring of internal and external stimuli, could be mainly associated with improved unfocused sustained attention abilities. Additionally, MMPs could enhance working memory capacity and some executive functions. However, many of the included studies show methodological limitations and negative results have been reported as well, plausibly reflecting differences in study design, study duration and patients' populations. ",Chiesa et al 2011,http://www.ncbi.nlm.nih.gov/pubmed/21183265,,,,,,,,,,,,
,focus + concentration,cognitive,,,,"meditation training can help people working with information stay on tasks longer with fewer distractions and also improves memory and reduces stress. 15 multitasking human resources personnel who underwent 8 weeks of meditation stayed on tasks longer and made fewer task switches than control groups, as well as reporting less negative emotion after task performance.",Levy et al 2012,http://faculty.washington.edu/wobbrock/pubs/gi-12.02.pdf,,,,,,,,http://www.sciencedaily.com/releases/2012/06/120614094118.htm,,,,
,focus + concentration,cognitive,,,, Neuroimaging studies showed that MM practice activates the prefrontal cortex (PFC) and the anterior cingulate cortex (ACC) and that long-term meditation practice is associated with an enhancement of cerebral areas related to attention.,Chiesa and Serretti 2010,http://www.ncbi.nlm.nih.gov/pubmed/19941676,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,visual discrimination,cognitive,Meditation training may help people focus for a long time on a task that requires them to distinguish small differences between things they see.,1,,meditation training helps people do better at focusing for a long time on a task that requires them to distinguish small differences between things they see,Maclean et al 2010,http://www.ncbi.nlm.nih.gov/pubmed/20483826,,,,,,,,http://www.sciencedaily.com/releases/2010/07/100714121737.htm,,,,
,musical engagement,cognitive + emotional,"Focusing on the physical sensation of breathing before listening to music appears to increase aesthetic sensitivity and focused engagement, enhancing the experience.",1,,"Study [forthcoming in Psychology of Music] found a rise of focused engagement among 132 student participants who listened to a 10-minute excerpt of Giacomo Puccini's opera ""La Boheme"" after listening to a 15-minute recording of a segment produced by the Duke University Center for Mindfulness Research.","University of Oregon (2013, January 30). Mindfulness meditation heightens a listener's musical engagement",http://uonews.uoregon.edu/archive/news-release/2013/1/mindfulness-meditation-heightens-listeners-musical-engagement,,,,,,,,http://www.sciencedaily.com/releases/2013/01/130130132415.htm,,,,
,,,,,,,,,,,,,,,,,,,,
intelligence,,,,,,,,,,,,,,,,,,,,
,general IQ,cognitive,One month of meditation might improve IQ and cognitive functioning - but evidence is weak. It's possible meditation only affects intelligence if a person believes it will (expectation effect).,1,,"Singh et al 2012: In the long-term (1 month), meditation brought significant improvements in IQ and scores for cognitive functions, whereas participants' stress levels (GSR and AS) decreased. Paholpak et al 2012: Among normal, intelligent, mentally healthy persons, short-term (4 week) breathing meditation practice will not likely change psychiatric symptoms, memory function, intellectual performance, and academic achievement. Canter and Ernst, 2003 meta analysis: Only the studies in which subjects were favourably disposed towards transcendental meditation showed a positive effect on cognitive functioning. 'The association observed between positive outcome, subject selection procedure and control procedure suggests that the large positive effects reported in 4 trials result from an expectation effect. The claim that TM has a specific and cumulative effect on cognitive function is not supported by the evidence from randomised controlled trials.'",Singh et al 2012; Paholpak et al 2012; Canter and Ernst 2003,http://www.ncbi.nlm.nih.gov/pubmed/23251943,http://www.ncbi.nlm.nih.gov/pubmed/22550848,http://www.ncbi.nlm.nih.gov/pubmed/14743579,,,,,,,,,,
,creativity,cognitive,Types of meditation involving opening the mind to thoughts and emotions appear to promote creative thinking.,1,,"Certain meditation techniques involving opening the mind (but not those involving focused attention) can promote creative thinking, as assessed by an alternative uses task (think of as many possible uses for household items as possible).",Colzato et al 2012,http://dx.doi.org/10.3389/fpsyg.2012.00116,,,,,,,,http://www.sciencedaily.com/releases/2012/04/120419102317.htm,,,,
,memory,cognitive,"May boost short- to medium- term memory for factual details, possibly by reducing stress, but results are mixed.",2,,"students who meditated before the lecture scored better on a quiz that followed than students who did not meditate. In one experiment, the meditation even predicted which students passed and which students failed the quiz.",Ramsburg et al 2013,http://dx.doi.org/10.1007/s12671-013-0199-5,,,,,,,,http://www.sciencedaily.com/releases/2013/04/130409131811.htm,,,,
,memory,cognitive,,,,"in an experiment comparing the effects of 8 weeks or either meditation or body relaxation against a control group on multitasking performance among human resources personnel, both meditation and relaxation groups showed improved memory for the details of tasks they worked on compared to controls, as assessed by a memory questionnaire right after the task. The authors suggest the memory improvement is the result of reduced stress.",Levy et al 2012,http://faculty.washington.edu/wobbrock/pubs/gi-12.02.pdf,,,,,,,,http://www.sciencedaily.com/releases/2012/06/120614094118.htm,,,,
,memory,cognitive,,,,"Paholpak et al 2012: Among normal, intelligent, mentally healthy persons, short-term breathing meditation practice (20 minutes a day for 4 weeks) will not likely change psychiatric symptoms, memory function, intellectual performance, and academic achievement. ",Paholpak et al 2012,http://www.ncbi.nlm.nih.gov/pubmed/22550848,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ethical awareness,,,,,,,,,,,,,,,,,,,,
,empathy + compassion,emotional,"Practicing meditation focused on cultivating compassion appears to increase activation in brain regions associated with empathy in response to emotional images or sounds, even when a person is not actively meditating. Meditation boosts the ability to read others' facial expressions accurately, and may even make a person more likely to come to anothers' aid.",3,,"Desbordes et al 2012: Study has found that participating in an 8-week compassion meditation training program based on Tibetan Buddhism can have measurable effects on how the brain responds to emotional images, both positive and negative, even when someone is not actively meditating. This change in the brain correlated with a decrease in depression scores among subjects. Lutz et al 2008: meditation focused on generating compassion or loving kindness alters the activation of circuitries linked to empathy in response to emotional sounds. Mascaro et al: cognitive-based compassion training boosts empathic accuracy - the ablity to accurately infer others' mental states from facial expressions. Changes in empathic accuracy were associated with particular changes in brain function. Lutz et al 2009: compassion enhances the emotional and somatosensory brain representations of others' emotions, and that this effect is modulated by expertise.",Desbordes et al 2012; Lutz et al 2008; Mascaro et al 2013; Lutz et al 2009,http://dx.doi.org/10.3389/fnhum.2012.00292,http://www.ncbi.nlm.nih.gov/pubmed/18365029,http://www.ncbi.nlm.nih.gov/pubmed/22956676,http://www.ncbi.nlm.nih.gov/pubmed/19426817,,,,,http://www.sciencedaily.com/releases/2012/11/121112150339.htm,,,,
,empathy + compassion,emotional,,,,"meditation-based compassion practices can reduce pain, and how compassion training can promote positive emotions and social closeness, which in turn can improve mental and physical health",Tania Singer and Matthias Bolz (eds) 'Compassion: Bridging Practice and Science' (2013),http://www.mpg.de/7522097/compassion-eBook,,,,,,,,http://www.sciencemag.org/content/341/6152/1336.summary,,,,
,empathy + compassion,emotional,,,,"subjects who took part in the meditation classes were more likely to come to the aid of a person in pain, even in the face of everyone else ignoring her. ","Northeastern University College of Science (2013, April 1). Can meditation make you a more compassionate person?. ScienceDaily",http://www.northeastern.edu/cos/2013/04/release-can-meditation-make-you-a-more-compassionate-person/,,,,,,,,http://www.sciencedaily.com/releases/2013/04/130401111553.htm,,,,
,forgiveness,emotional,,,,Oman et al 2008: Evidence suggests that meditation-based stress-management practices reduce stress and enhance forgiveness among college undergraduates.,Oman et al 2008,http://www.ncbi.nlm.nih.gov/pubmed/18400671,,,,,,,,,,,,
,political views,emotional,"People become more open and politically liberal immediately after practicing guided meditation, regardlnes of whether they are liberals or conservatives to begin with.",1,,"People become more open and politically liberal immediately after practising a spiritual exercise such as meditation, researchers at the University of Toronto have found. ""Inducing a spiritual experience through a guided meditation exercise led both liberals and conservatives to endorse more liberal political attitudes. [...] While religiousness is characterized by devotion to a specific tradition, set of principles, or code of conduct, spirituality is associated with the direct experience of self-transcendence and the feeling that we're all connected."" ",Hirsh et al 2012,http://dx.doi.org/10.1177/1948550612444138,,,,,,,,http://www.sciencedaily.com/releases/2013/02/130225131532.htm,,,,
,positive thinking / present centredness,emotional,,,,"Study proposes a neurophysiological framework to explain clinical benefits of mindfulness meditation (training in awareness of present moment experience, which includes preventing depression and reducing distress in chronic pain.)",Kerr et al 2013,http://dx.doi.org/10.3389/fnhum.2013.00012,,,,,,,,http://www.sciencedaily.com/releases/2013/02/130213092309.htm,,,,
,positive thinking / empathy / forgiveness,emotional,,,," meditation helps maintain a healthy mind by quelling negative emotions and thoughts, such as desire, anger and anxiety, and encouraging more positive dispositions such as compassion, empathy and forgiveness",Vago et al 2012,http://dx.doi.org/10.3389/fnhum.2012.00296,,,,,,,,http://www.sciencedaily.com/releases/2012/10/121029161452.htm,,,,
,,,,,,,,,,,,,,,,,,,,
self-regulation,,,,,,,,,,,,,,,,,,,,
,willpower,"emotional, cognitive",Improves activation and connectivity in brain areas related to self regulation. Appears to strengthen self control and prevent sapping of willpower by reducing emotional interference on tasks.,3,,"Tang et al 2010: meditation could provide a means for improving self-regulation and perhaps reducing or preventing various mental disorders. Friese et al 2012: Mindfulness meditation appears to prevent depletion of self-control (sapping of willpower) after an emotional suppression task. Tang 2013: Studies using neuroimaging techniques have shown that meditation improves activation and connectivity in brain areas related to self-regulation. Recently, it has been possible to establish changes in self-regulation in undergraduate students after only 5 days of meditation practice. Menezes 2013: 6 weeks of meditation training, compared to relaxation or no training, appears to help reduce emotional interference on tasks and increases attention regulation. Undergraduate subjects rated images as significantly less negative and found tasks less anxiety-inducing and difficult. Attention and concentration also increased.",Tang et al 2010; Friese et al 2012; Tang et al 2013; Menezes et al 2013,http://www.pnas.org/content/107/35/15649.long,http://www.ncbi.nlm.nih.gov/pubmed/22309814,http://www.ncbi.nlm.nih.gov/pubmed/24033306,http://www.ncbi.nlm.nih.gov/pubmed/23935694,,,,,-,,,,
,weight loss,"physical, emotional","Mindfulness practices may help to control stress-related binge eating, but results for weight loss so far inconclusive. Many studies small or lacking control groups.",2,,"Daubenmier et al 2011: 47 overweight/obese women assigned to 4 months mindfulness program or control. Treatment group improved in mindfulness, anxiety, external-based eating over time compared to controls, but did not lose any more weight. However, they kept the weight off they lost whereas control group regained it. Miller et al 2013: Mindful eating comparable to diabetes self-care education in terms of improving health (depressive symptoms, outcome expectations, cognitive control) among diabetic adults - pretty weak result. Sojcher et al 2012: mindfulness meditation and practices show more compelling evidence than energy psychology at treating weight loss, stress, and behaviour modification related to binge-eating disorder. Kearney et al 2012: For all participants (N = 48), mindfulness based stress reduction participation was not associated with significant changes in emotional or uncontrolled eating. In addition, there were no significant differences in the intake of energy, fat, sugar, fruit, or vegetables at either follow-up time point as compared with baseline. Overall, there was no evidence that participation in MBSR was associated with beneficial changes in eating through reductions in disinhibited eating or significant changes in dietary intake. Alberts et al 2012: A non-clinical sample of 26 women with disordered eating behavior was randomly assigned to an 8-week MBCT-based eating intervention or a waiting list control group. Participants in the mindfulness intervention showed significantly greater decreases in food cravings, dichotomous thinking, body image concern, emotional eating and external eating.",Daubenmier et al 2011; Miller et al 2013; Sojcher et al 2012; Kearney et al 2012,http://www.hindawi.com/journals/jobes/2011/651936/,http://www.ncbi.nlm.nih.gov/pubmed/23855018,http://www.ncbi.nlm.nih.gov/pubmed/22938745,http://www.ncbi.nlm.nih.gov/pubmed/22749177,http://www.ncbi.nlm.nih.gov/pubmed/22265753,,,,http://www.ucsf.edu/news/2011/12/11091/stress-reduction-and-mindful-eating-curb-weight-gain-among-overweight-women,,,,
,smoking,"physical, emotional","Preliminary results suggest meditation might help smokers quite, but more studies needed. In one study, 2 weeks of meditation training reduced smoking rates by 60% and increased brain activity in areas relating to self control.",2,,"Carim-Todd et al 2013, review of 14 studies of yoga + meditation: promising results on smoking cessation but studies limited. More trials with larger sample sizes needed. Tang et al 2013: Among smokers, 2 wk of meditation training (5 h in total) produced a significant reduction in smoking of 60%; no reduction was found in the relaxation control. Resting-state brain scans showed increased activity for the meditation group in the anterior cingulate and prefrontal cortex, brain areas related to self-control. These results suggest that brief meditation training improves self-control capacity and reduces smoking [even when the smoker did not intend to do so]. Davis et al 2012: Mindfulness Training for Smokers shows promise for smoking cessation and alcohol use reduction in treating young adult smokers with alcohol abuse. [results not quite significant, larger sample needed]",Carim-Todd et al 2013; Tang et al 2013; Davis et al 2013,http://www.ncbi.nlm.nih.gov/pubmed/23664122,http://dx.doi.org/10.1073/pnas.1311887110,http://www.ncbi.nlm.nih.gov/pubmed/24006963,,,,,,http://www.sciencedaily.com/releases/2013/08/130805152418.htm,,,,
,drug addiction,"physical, emotional","A promising treatment for substance abuse disorders, but more research needed. In one study, Vipassana meditation significantly reduced alcohol, marijuana, and crack cocaine use among ex-prisoners.",2,,"Skanavi 2011: Results of six clinical trials evaluating four different mindfulness programs were found. Five studies were controlled and four were randomized. Drop-out rates were relatively high (from 28 to 55%). In five cases out of six, the program significantly reduced substance use. In four comparative trials out of five, interventions based on mindfulness proved more effective than control conditions. Mindfulness may help substance abusers to accept unusual physical sensations that might be confused with withdrawal symptoms, decentre from a strong urge and not act impulsively. It may reduce an individual's susceptibility to act in response to a drug cue. Dakwar 2009: While the evidence is inconsistent and inconclusive, meditation is a promising technique for treating substance use disorders. Bowen et al 2006: after release from jail, participants in a Vipassana meditation course, as compared with those in a treatment-as-usual control condition, showed significant reductions in alcohol, marijuana, and crack cocaine use.",Skanavi et al 2011; Dakwar and Levin 2009,http://www.ncbi.nlm.nih.gov/pubmed/22032281,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3109319/,http://www.ncbi.nlm.nih.gov/pubmed/16938074,,,,,,,,,,
,pain sensitivity,"physical, emotional",Seems to make pain less unpleasant by reducing its emotional impact. Might even reduce the need for painkillers.,3,,"People who meditate regularly find pain less unpleasant because their brains anticipate the pain less. 2009: More experienced meditators perceived the pain as less unpleasant relative to controls, with meditation experience correlating inversely with unpleasantness ratings. 2010: 17 meditators had significantly lower pain sensitivity than 18 controls. Assessed across all subjects, lower pain sensitivity was associated with thicker cortex in affective, pain-related brain regions. 2011: Zen meditators can 'decouple' brain regions that detect pain from those that evaluate it as being bad: they feel pain without being as disturbed by it. 2013: reduces need for painkillers in children undergoing cancer treatment",Brown and Jones 2009; Grant et al 2010; Grant et al 2011; Ahmed et al 2013,http://www.painjournalonline.com/article/S0304-3959(10)00223-X/abstract,http://psycnet.apa.org/?&fa=main.doiLanding&doi=10.1037/a0018334,http://www.painjournalonline.com/article/S0304-3959(10)00614-7/abstract,http://www.ncbi.nlm.nih.gov/pubmed/24065045,,,,,http://www.sciencedaily.com/releases/2010/06/100602091315.htm,,,,
,body temperature,physical,"Some expert meditators can maintain a slightly raised body temperature to withstand freezing environments, including Tibetan nuns and a man with several world records for cold tolerance.",1,,"The findings from the study showed that specific aspects of the meditation techniques can be used by non-meditators to regulate their body temperature through breathing and mental imagery. The techniques could potentially allow practitioners to adapt to and function in cold environments, improve resistance to infections, boost cognitive performance by speeding up response time and reduce performance problems associated with decreased body temperature.",Kozhevnikov et al 2013; Kox et al 2012,http://dx.doi.org/10.1371/journal.pone.0058244,http://www.ncbi.nlm.nih.gov/pubmed/22685240,,,,,,,http://www.sciencedaily.com/releases/2013/04/130408084858.htm,,,,
,,,,,,,,,,,,,,,,,,,,
mental health,,,,,,,,,,,,,,,,,,,,
